'aute	s_ w t e
'las	s_
'menos	s_ e_m ˈe n o s
'no'	s_ s_
'paremos	s_ p a ɾ ˈe m o s
'pensionistas	s_ p e n s j o n ˈi s t a s
'protejamos	s_ p ɾ o t e x ˈa m o s
'sí'	s_ ˈi s_
a	a
abajo	a β ˈa x o
abandonado	a β a n d o n ˈa ð o
abandono	a β a n d ˈo n o
abandonó	a β a n d o n ˈo
abanico	a β a n ˈi k o
abanicos	a β a n ˈi k o s
abarate	a β a ɾ ˈa t e
abarrotada	a β a r o t ˈa ð a
abastecimiento	a β a s t e θ i m j ˈe n t o
abdominales	a b d o m i n ˈa l e s
abierta	a β j ˈe ɾ t a
abiertamente	a β j ˈe ɾ t a m ˈe n t e
abiertas	a β j ˈe ɾ t a s
abierto	a β j ˈe ɾ t o
abiertos	a β j ˈe ɾ t o s
ablandan	a β l ˈa n d a n
aboga	a β ˈo ɣ a
abogada	a β o ɣ ˈa ð a
abogado	a β o ɣ ˈa ð o
abogados	a β o ɣ ˈa ð o s
abominablemente	a β o m i n ˈa β l e m ˈe n t e
abonados	a β o n ˈa ð o s
abonar	a β o n ˈa ɾ
abono	a β ˈo n o
abordará	a β o ɾ d a ɾ ˈa
abordo	a β ˈo ɾ d o
abras	ˈa β ɾ a s
abrasado	a β ɾ a s ˈa ð o
abrasador	a β ɾ a s a ð ˈo ɾ
abren	ˈa β ɾ e n
abriendo	a β ɾ j ˈe n d o
abrigaos	a β ɾ i ɣ ˈa o s
abrigo	a β ɾ ˈi ɣ o
abrir	a β ɾ ˈi ɾ
abrirse	a β ɾ ˈi ɾ s e
abrocharse	a β ɾ o ʧ ˈa ɾ s e
abrí	a β ɾ ˈi
abría	a β ɾ ˈi a
abríguense	a β ɾ ˈi ɣ w ˈe n s e
absolutamente	a b s o l ˈu t a m ˈe n t e
absoluto	a b s o l ˈu t o
absorción	a b s o ɾ θ j ˈo n
abstenerse	a b s t e n ˈe ɾ s e
abstiene	a b s t j ˈe n e
absurda	a b s ˈu ɾ d a
abuelo	a β w ˈe l o
abuelos	a β w ˈe l o s
aburrida	a β u r ˈi ð a
aburrido	a β u r ˈi ð o
aburrimiento	a β u r i m j ˈe n t o
abusar	a β u s ˈa ɾ
abusaríamos	a β u s a ɾ ˈi a m o s
abusivas	a β u s ˈi β a s
acaba	a k ˈa β a
acabado	a k a β ˈa ð o
acabamos	a k a β ˈa m o s
acaban	a k ˈa β a n
acabar	a k a β ˈa ɾ
acabarse	a k a β ˈa ɾ s e
acabarán	a k a β a ɾ ˈa n
acabas	a k ˈa β a s
acabaste	a k a β ˈa s t e
acabe	a k ˈa β e
acabes	a k a β e s
acabo	a k ˈa β o
acabé	a k a β ˈe
académicos	a k a ð ˈe m i k o s
acampé	a k a m p ˈe
acantilado	a k a n t i l ˈa ð o
acaparamiento	a k a p a ɾ a m j ˈe n t o
acaparan	a k a p ˈa ɾ a n
acariciar	a k a ɾ i θ j ˈa ɾ
acarrear	a k a r e ˈa ɾ
acaso	a k ˈa s o
accedan	a k θ ˈe ð a n
acceden	a k θ ˈe ð e n
acceder	a k θ e ð ˈe ɾ
accederse	a k θ e ð ˈe ɾ s e
accedería	a k θ e ð e ɾ ˈi a
accesibilidad	a k θ e s i β i l i ð ˈa d
accesible	a k θ e s ˈi β l e
accesibles	a k θ e s ˈi β l e s
acceso	a k θ ˈe s o
accesos	a k θ ˈe s o s
accidente	a k θ i ð ˈe n t e
accidentes	a k θ i ð ˈe n t e s
acciones	a k θ j ˈo n e s
accionistas	a k θ j o n ˈi s t a s
acción	a k θ j ˈo n
aceitunas	a θ e j t ˈu n a s
aceleración	a θ e l e ɾ a θ j ˈo n
acelerador	a θ e l e ɾ a ð ˈo ɾ
acelerar	a θ e l e ɾ ˈa ɾ
acento	a θ ˈe n t o
acepta	a θ ˈe p t a
aceptar	a θ e p t ˈa ɾ
aceptarlo	a θ e p t ˈa ɾ l o
aceptaría	a θ e p t a ɾ ˈi a
aceptarían	a θ e p t a ɾ ˈi a n
aceptas	a θ ˈe p t a s
aceptes	a θ ˈe p t e s
aceptábamos	a θ e p t ˈa β a m o s
aceras	a θ ˈe ɾ a s
acerca	a θ ˈe ɾ k a
acercan	a θ ˈe ɾ k a n
acercando	a θ e ɾ k ˈa n d o
acercaremos	a θ e ɾ k a ɾ ˈe m o s
acerque	a θ ˈe ɾ k e
acertada	a θ e ɾ t ˈa ð a
acertadamente	a θ e ɾ t ˈa ð a m ˈe n t e
aclarar	a k l a ɾ ˈa ɾ
